uf;estado;capital;municipio
mg;minas-gerais;belo-horizonte;coromandel
mg;minas-gerais;belo-horizonte;coronel-fabriciano
mg;minas-gerais;belo-horizonte;coronel-murta
mg;minas-gerais;belo-horizonte;coronel-pacheco
mg;minas-gerais;belo-horizonte;coronel-xavier-chaves
mg;minas-gerais;belo-horizonte;corrego-danta
mg;minas-gerais;belo-horizonte;corrego-do-bom-jesus
mg;minas-gerais;belo-horizonte;corrego-fundo
mg;minas-gerais;belo-horizonte;corrego-novo
mg;minas-gerais;belo-horizonte;couto-de-magalhaes-de-minas
mg;minas-gerais;belo-horizonte;crisolita
mg;minas-gerais;belo-horizonte;cristais
mg;minas-gerais;belo-horizonte;cristalia-
mg;minas-gerais;belo-horizonte;cristiano-otoni
mg;minas-gerais;belo-horizonte;cristina
mg;minas-gerais;belo-horizonte;crucilandia
mg;minas-gerais;belo-horizonte;cruzeiro-da-fortaleza
mg;minas-gerais;belo-horizonte;cruzilia
mg;minas-gerais;belo-horizonte;cuparaque
mg;minas-gerais;belo-horizonte;curral-de-dentro
mg;minas-gerais;belo-horizonte;curvelo
mg;minas-gerais;belo-horizonte;datas
mg;minas-gerais;belo-horizonte;delfim-moreira
mg;minas-gerais;belo-horizonte;delfinopolis
mg;minas-gerais;belo-horizonte;delta
mg;minas-gerais;belo-horizonte;demais-municipios
mg;minas-gerais;belo-horizonte;descoberto
mg;minas-gerais;belo-horizonte;desterro-de-entre-rios
mg;minas-gerais;belo-horizonte;desterro-do-melo
mg;minas-gerais;belo-horizonte;diamantina
mg;minas-gerais;belo-horizonte;diogo-de-vasconcelos
mg;minas-gerais;belo-horizonte;dionisio
mg;minas-gerais;belo-horizonte;divinesia
mg;minas-gerais;belo-horizonte;divino
mg;minas-gerais;belo-horizonte;divino-das-laranjeiras
mg;minas-gerais;belo-horizonte;divinolandia-de-minas
mg;minas-gerais;belo-horizonte;divinopolis
mg;minas-gerais;belo-horizonte;divisa-alegre
mg;minas-gerais;belo-horizonte;divisa-nova
mg;minas-gerais;belo-horizonte;divisopolis
mg;minas-gerais;belo-horizonte;dom-bosco-
mg;minas-gerais;belo-horizonte;dom-cavati
mg;minas-gerais;belo-horizonte;dom-joaquim
mg;minas-gerais;belo-horizonte;dom-silverio
mg;minas-gerais;belo-horizonte;dom-vicoso
mg;minas-gerais;belo-horizonte;dona-eusebia
mg;minas-gerais;belo-horizonte;dores-de-campos
mg;minas-gerais;belo-horizonte;dores-de-guanhaes
mg;minas-gerais;belo-horizonte;dores-do-indaia
mg;minas-gerais;belo-horizonte;dores-do-turvo
mg;minas-gerais;belo-horizonte;doresopolis
mg;minas-gerais;belo-horizonte;douradoquara
mg;minas-gerais;belo-horizonte;durande
mg;minas-gerais;belo-horizonte;eloi-mendes
mg;minas-gerais;belo-horizonte;engenheiro-caldas
mg;minas-gerais;belo-horizonte;engenheiro-navarro
mg;minas-gerais;belo-horizonte;entre-folhas
mg;minas-gerais;belo-horizonte;entre-rios-de-minas
mg;minas-gerais;belo-horizonte;ervalia
mg;minas-gerais;belo-horizonte;esmeraldas
mg;minas-gerais;belo-horizonte;espera-feliz
mg;minas-gerais;belo-horizonte;espinosa
mg;minas-gerais;belo-horizonte;espirito-santo-do-dourado
mg;minas-gerais;belo-horizonte;estiva
mg;minas-gerais;belo-horizonte;estrela-dalva
mg;minas-gerais;belo-horizonte;estrela-do-indaia
mg;minas-gerais;belo-horizonte;estrela-do-sul
mg;minas-gerais;belo-horizonte;eugenopolis
mg;minas-gerais;belo-horizonte;ewbanK-da-camara
mg;minas-gerais;belo-horizonte;extrema
mg;minas-gerais;belo-horizonte;fama
mg;minas-gerais;belo-horizonte;faria-lemos
mg;minas-gerais;belo-horizonte;felicio-dos-santos
mg;minas-gerais;belo-horizonte;felisburgo
mg;minas-gerais;belo-horizonte;felixlandia
mg;minas-gerais;belo-horizonte;fernandes-tourinho
mg;minas-gerais;belo-horizonte;ferros
mg;minas-gerais;belo-horizonte;fervedouro
mg;minas-gerais;belo-horizonte;florestal
mg;minas-gerais;belo-horizonte;formiga
mg;minas-gerais;belo-horizonte;formoso
mg;minas-gerais;belo-horizonte;fortaleza-de-minas
mg;minas-gerais;belo-horizonte;fortuna-de-minas
mg;minas-gerais;belo-horizonte;francisco-badaro
mg;minas-gerais;belo-horizonte;francisco-dumont
mg;minas-gerais;belo-horizonte;francisco-sa
mg;minas-gerais;belo-horizonte;franciscopolis
mg;minas-gerais;belo-horizonte;frei-gaspar
mg;minas-gerais;belo-horizonte;frei-inocencio
mg;minas-gerais;belo-horizonte;frei-lagonegro
mg;minas-gerais;belo-horizonte;fronteira
mg;minas-gerais;belo-horizonte;fronteira-dos-vales
mg;minas-gerais;belo-horizonte;fruta-de-leite
mg;minas-gerais;belo-horizonte;frutal
mg;minas-gerais;belo-horizonte;funilandia
mg;minas-gerais;belo-horizonte;galileia
mg;minas-gerais;belo-horizonte;gameleiras
mg;minas-gerais;belo-horizonte;glaucilandia
mg;minas-gerais;belo-horizonte;goiabeira
mg;minas-gerais;belo-horizonte;goiana
mg;minas-gerais;belo-horizonte;goncalves
mg;minas-gerais;belo-horizonte;gonzaga
mg;minas-gerais;belo-horizonte;gouveia
mg;minas-gerais;belo-horizonte;governador-valadares
mg;minas-gerais;belo-horizonte;grao-mogol
mg;minas-gerais;belo-horizonte;grupiara
mg;minas-gerais;belo-horizonte;guanhaes
mg;minas-gerais;belo-horizonte;guape
mg;minas-gerais;belo-horizonte;guaraciaba
mg;minas-gerais;belo-horizonte;guaraciama
mg;minas-gerais;belo-horizonte;guaranesia
mg;minas-gerais;belo-horizonte;guarani
mg;minas-gerais;belo-horizonte;guarara
mg;minas-gerais;belo-horizonte;guarda-mor
mg;minas-gerais;belo-horizonte;guaxupe
mg;minas-gerais;belo-horizonte;guidoval
mg;minas-gerais;belo-horizonte;guimarania
mg;minas-gerais;belo-horizonte;guiricema
mg;minas-gerais;belo-horizonte;gurinhata
mg;minas-gerais;belo-horizonte;heliodora
mg;minas-gerais;belo-horizonte;iapu
mg;minas-gerais;belo-horizonte;ibertioga
mg;minas-gerais;belo-horizonte;ibia
mg;minas-gerais;belo-horizonte;ibiai
mg;minas-gerais;belo-horizonte;ibiracatu
mg;minas-gerais;belo-horizonte;ibiraci
mg;minas-gerais;belo-horizonte;ibirite
mg;minas-gerais;belo-horizonte;ibitiura-de-minas
mg;minas-gerais;belo-horizonte;ibituruna
mg;minas-gerais;belo-horizonte;icarai-de-minas
mg;minas-gerais;belo-horizonte;igarape
mg;minas-gerais;belo-horizonte;igaratinga
mg;minas-gerais;belo-horizonte;iguatama
mg;minas-gerais;belo-horizonte;ijaci
mg;minas-gerais;belo-horizonte;ilicinea
mg;minas-gerais;belo-horizonte;imbe-de-minas
mg;minas-gerais;belo-horizonte;inconfidentes
mg;minas-gerais;belo-horizonte;indaiabira
mg;minas-gerais;belo-horizonte;indianopolis
mg;minas-gerais;belo-horizonte;ingai
mg;minas-gerais;belo-horizonte;inhapim
mg;minas-gerais;belo-horizonte;inhauma
mg;minas-gerais;belo-horizonte;inimutaba
mg;minas-gerais;belo-horizonte;ipaba
mg;minas-gerais;belo-horizonte;ipanema
mg;minas-gerais;belo-horizonte;ipatinga
mg;minas-gerais;belo-horizonte;ipiacu
mg;minas-gerais;belo-horizonte;ipuiuna
mg;minas-gerais;belo-horizonte;irai-de-minas
mg;minas-gerais;belo-horizonte;itabira
mg;minas-gerais;belo-horizonte;itabirinha
mg;minas-gerais;belo-horizonte;itabirito
mg;minas-gerais;belo-horizonte;itacambira
mg;minas-gerais;belo-horizonte;itacarambi
mg;minas-gerais;belo-horizonte;itaguara
mg;minas-gerais;belo-horizonte;itaipe
mg;minas-gerais;belo-horizonte;itajuba
mg;minas-gerais;belo-horizonte;itamarandiba
mg;minas-gerais;belo-horizonte;itamarati-de-minas
mg;minas-gerais;belo-horizonte;itambacuri
mg;minas-gerais;belo-horizonte;itambe-do-mato-dentro
mg;minas-gerais;belo-horizonte;itamogi
mg;minas-gerais;belo-horizonte;itamonte
mg;minas-gerais;belo-horizonte;itanhandu
mg;minas-gerais;belo-horizonte;itanhomi
mg;minas-gerais;belo-horizonte;itaobim
mg;minas-gerais;belo-horizonte;itapagipe-
mg;minas-gerais;belo-horizonte;itapecerica
mg;minas-gerais;belo-horizonte;itapeva
mg;minas-gerais;belo-horizonte;itatiaiucu
mg;minas-gerais;belo-horizonte;itau-de-minas
mg;minas-gerais;belo-horizonte;itauna
mg;minas-gerais;belo-horizonte;itaverava
mg;minas-gerais;belo-horizonte;itinga
mg;minas-gerais;belo-horizonte;itueta
mg;minas-gerais;belo-horizonte;ituiutaba
mg;minas-gerais;belo-horizonte;itumirim
mg;minas-gerais;belo-horizonte;iturama
mg;minas-gerais;belo-horizonte;itutinga
mg;minas-gerais;belo-horizonte;jaboticatubas
mg;minas-gerais;belo-horizonte;jacinto
mg;minas-gerais;belo-horizonte;jacui
mg;minas-gerais;belo-horizonte;jacutinga
mg;minas-gerais;belo-horizonte;jaguaracu
mg;minas-gerais;belo-horizonte;jaiba
mg;minas-gerais;belo-horizonte;jampruca
mg;minas-gerais;belo-horizonte;janauba
mg;minas-gerais;belo-horizonte;januaria
mg;minas-gerais;belo-horizonte;japaraiba
mg;minas-gerais;belo-horizonte;japonvar
mg;minas-gerais;belo-horizonte;jeceaba
mg;minas-gerais;belo-horizonte;jenipapo-de-minas
mg;minas-gerais;belo-horizonte;jequeri
mg;minas-gerais;belo-horizonte;jequitai
mg;minas-gerais;belo-horizonte;jequitiba
mg;minas-gerais;belo-horizonte;jequitinhonha
mg;minas-gerais;belo-horizonte;jesuania
mg;minas-gerais;belo-horizonte;joaima
mg;minas-gerais;belo-horizonte;joanesia
mg;minas-gerais;belo-horizonte;joao-monlevade
mg;minas-gerais;belo-horizonte;joao-pinheiro
mg;minas-gerais;belo-horizonte;joaquim-felicio
mg;minas-gerais;belo-horizonte;jordania
mg;minas-gerais;belo-horizonte;jose-goncalves-de-minas
mg;minas-gerais;belo-horizonte;jose-raydan
mg;minas-gerais;belo-horizonte;josenopolis
mg;minas-gerais;belo-horizonte;juatuba
mg;minas-gerais;belo-horizonte;juiz-de-fora
mg;minas-gerais;belo-horizonte;juramento
mg;minas-gerais;belo-horizonte;juruaia
mg;minas-gerais;belo-horizonte;juvenilia
mg;minas-gerais;belo-horizonte;ladainha
mg;minas-gerais;belo-horizonte;lagamar
mg;minas-gerais;belo-horizonte;lagoa-da-prata
mg;minas-gerais;belo-horizonte;lagoa-dos-patos
mg;minas-gerais;belo-horizonte;lagoa-dourada
mg;minas-gerais;belo-horizonte;lagoa-formosa
mg;minas-gerais;belo-horizonte;lagoa-grande
mg;minas-gerais;belo-horizonte;lagoa-santa
mg;minas-gerais;belo-horizonte;lajinha
mg;minas-gerais;belo-horizonte;lambari
mg;minas-gerais;belo-horizonte;lamim
mg;minas-gerais;belo-horizonte;laranjal
mg;minas-gerais;belo-horizonte;lassance
mg;minas-gerais;belo-horizonte;lavras
mg;minas-gerais;belo-horizonte;leandro-ferreira
mg;minas-gerais;belo-horizonte;leme-do-prado
mg;minas-gerais;belo-horizonte;leopoldina
mg;minas-gerais;belo-horizonte;liberdade-
mg;minas-gerais;belo-horizonte;lima-duarte
mg;minas-gerais;belo-horizonte;limeira-do-oeste
mg;minas-gerais;belo-horizonte;lontra
mg;minas-gerais;belo-horizonte;luisburgo
mg;minas-gerais;belo-horizonte;luislandia
mg;minas-gerais;belo-horizonte;luminarias
mg;minas-gerais;belo-horizonte;luz
mg;minas-gerais;belo-horizonte;machacalis
mg;minas-gerais;belo-horizonte;machado
mg;minas-gerais;belo-horizonte;madre-de-deus-de-minas
mg;minas-gerais;belo-horizonte;malacacheta
mg;minas-gerais;belo-horizonte;mamonas
mg;minas-gerais;belo-horizonte;manga
mg;minas-gerais;belo-horizonte;manhuacu
mg;minas-gerais;belo-horizonte;manhumirim
mg;minas-gerais;belo-horizonte;mantena
mg;minas-gerais;belo-horizonte;mar-de-espanha
mg;minas-gerais;belo-horizonte;maravilhas
mg;minas-gerais;belo-horizonte;maria-da-fe
mg;minas-gerais;belo-horizonte;mariana
mg;minas-gerais;belo-horizonte;marilac
mg;minas-gerais;belo-horizonte;mario-campos
mg;minas-gerais;belo-horizonte;maripa-de-minas
mg;minas-gerais;belo-horizonte;marlieria-
mg;minas-gerais;belo-horizonte;marmelopolis
mg;minas-gerais;belo-horizonte;martinho-campos
mg;minas-gerais;belo-horizonte;martins-soares
mg;minas-gerais;belo-horizonte;mata-verde
mg;minas-gerais;belo-horizonte;materlandia
mg;minas-gerais;belo-horizonte;mateus-leme
mg;minas-gerais;belo-horizonte;mathias-lobato
mg;minas-gerais;belo-horizonte;matias-barbosa
mg;minas-gerais;belo-horizonte;matias-cardoso
mg;minas-gerais;belo-horizonte;matipo
mg;minas-gerais;belo-horizonte;mato-verde
mg;minas-gerais;belo-horizonte;matozinhos
mg;minas-gerais;belo-horizonte;matutina
mg;minas-gerais;belo-horizonte;medeiros
mg;minas-gerais;belo-horizonte;medina
mg;minas-gerais;belo-horizonte;mendes-pimentel
mg;minas-gerais;belo-horizonte;merces
mg;minas-gerais;belo-horizonte;mesquita
mg;minas-gerais;belo-horizonte;minas-novas
mg;minas-gerais;belo-horizonte;minduri
mg;minas-gerais;belo-horizonte;mirabela
mg;minas-gerais;belo-horizonte;miradouro
mg;minas-gerais;belo-horizonte;mirai
mg;minas-gerais;belo-horizonte;miravania
mg;minas-gerais;belo-horizonte;moeda
mg;minas-gerais;belo-horizonte;moema
mg;minas-gerais;belo-horizonte;monjolos
mg;minas-gerais;belo-horizonte;monsenhor-paulo
mg;minas-gerais;belo-horizonte;montalvania
mg;minas-gerais;belo-horizonte;monte-alegre-de-minas
mg;minas-gerais;belo-horizonte;monte-azul
mg;minas-gerais;belo-horizonte;monte-belo
mg;minas-gerais;belo-horizonte;monte-carmelo
mg;minas-gerais;belo-horizonte;monte-formoso
mg;minas-gerais;belo-horizonte;monte-santo-de-minas
mg;minas-gerais;belo-horizonte;monte-siao
mg;minas-gerais;belo-horizonte;montes-claros
mg;minas-gerais;belo-horizonte;montezuma
mg;minas-gerais;belo-horizonte;morada-nova-de-minas
mg;minas-gerais;belo-horizonte;morro-da-garca
mg;minas-gerais;belo-horizonte;morro-do-pilar
mg;minas-gerais;belo-horizonte;munhoz
mg;minas-gerais;belo-horizonte;muriae
mg;minas-gerais;belo-horizonte;mutum
mg;minas-gerais;belo-horizonte;muzambinho
mg;minas-gerais;belo-horizonte;nacip-raydan
mg;minas-gerais;belo-horizonte;nanuque
mg;minas-gerais;belo-horizonte;naque
mg;minas-gerais;belo-horizonte;natalandia
mg;minas-gerais;belo-horizonte;natercia
mg;minas-gerais;belo-horizonte;nazareno
mg;minas-gerais;belo-horizonte;nepomuceno
mg;minas-gerais;belo-horizonte;ninheira
mg;minas-gerais;belo-horizonte;nova-belem
mg;minas-gerais;belo-horizonte;nova-era
mg;minas-gerais;belo-horizonte;nova-lima
mg;minas-gerais;belo-horizonte;nova-modica
mg;minas-gerais;belo-horizonte;nova-ponte
mg;minas-gerais;belo-horizonte;nova-porteirinha
mg;minas-gerais;belo-horizonte;nova-resende
mg;minas-gerais;belo-horizonte;nova-serrana
mg;minas-gerais;belo-horizonte;nova-uniao
mg;minas-gerais;belo-horizonte;novo-cruzeiro
mg;minas-gerais;belo-horizonte;novo-oriente-de-minas
mg;minas-gerais;belo-horizonte;novorizonte
mg;minas-gerais;belo-horizonte;olaria
mg;minas-gerais;belo-horizonte;olhos-d'agua
mg;minas-gerais;belo-horizonte;olimpio-noronha
mg;minas-gerais;belo-horizonte;oliveira
mg;minas-gerais;belo-horizonte;oliveira-fortes
mg;minas-gerais;belo-horizonte;onca-de-pitangui
mg;minas-gerais;belo-horizonte;oratorios
mg;minas-gerais;belo-horizonte;orizania
mg;minas-gerais;belo-horizonte;ouro-branco
mg;minas-gerais;belo-horizonte;ouro-fino
mg;minas-gerais;belo-horizonte;ouro-preto
mg;minas-gerais;belo-horizonte;ouro-verde-de-minas
mg;minas-gerais;belo-horizonte;padre-carvalho
mg;minas-gerais;belo-horizonte;padre-paraiso
mg;minas-gerais;belo-horizonte;pai-pedro
mg;minas-gerais;belo-horizonte;paineiras
mg;minas-gerais;belo-horizonte;pains
mg;minas-gerais;belo-horizonte;paiva
mg;minas-gerais;belo-horizonte;palma
mg;minas-gerais;belo-horizonte;palmopolis
mg;minas-gerais;belo-horizonte;papagaios
mg;minas-gerais;belo-horizonte;para-de-minas
mg;minas-gerais;belo-horizonte;paracatu
mg;minas-gerais;belo-horizonte;paraguacu
mg;minas-gerais;belo-horizonte;paraisopolis
mg;minas-gerais;belo-horizonte;paraopeba
mg;minas-gerais;belo-horizonte;passa-quatro
mg;minas-gerais;belo-horizonte;passa-tempo
mg;minas-gerais;belo-horizonte;passabem
mg;minas-gerais;belo-horizonte;passa-vinte
mg;minas-gerais;belo-horizonte;passos
mg;minas-gerais;belo-horizonte;patis
mg;minas-gerais;belo-horizonte;patos-de-minas
mg;minas-gerais;belo-horizonte;patrocinio
mg;minas-gerais;belo-horizonte;patrocinio-do-muriae
mg;minas-gerais;belo-horizonte;paula-candido
mg;minas-gerais;belo-horizonte;paulistas
mg;minas-gerais;belo-horizonte;pavao
mg;minas-gerais;belo-horizonte;pecanha
mg;minas-gerais;belo-horizonte;pedra-azul
mg;minas-gerais;belo-horizonte;pedra-bonita
mg;minas-gerais;belo-horizonte;pedra-do-anta
mg;minas-gerais;belo-horizonte;pedra-do-indaia
mg;minas-gerais;belo-horizonte;pedra-dourada
mg;minas-gerais;belo-horizonte;pedralva
mg;minas-gerais;belo-horizonte;pedras-de-maria-da-cruz
mg;minas-gerais;belo-horizonte;pedrinopolis
mg;minas-gerais;belo-horizonte;pedro-leopoldo
mg;minas-gerais;belo-horizonte;pedro-teixeira
mg;minas-gerais;belo-horizonte;pequeri
mg;minas-gerais;belo-horizonte;pequi
mg;minas-gerais;belo-horizonte;perdigao
mg;minas-gerais;belo-horizonte;perdizes
mg;minas-gerais;belo-horizonte;perdoes
mg;minas-gerais;belo-horizonte;periquito-
mg;minas-gerais;belo-horizonte;pescador
mg;minas-gerais;belo-horizonte;piau
mg;minas-gerais;belo-horizonte;piedade-de-caratinga
mg;minas-gerais;belo-horizonte;piedade-de-ponte-nova
mg;minas-gerais;belo-horizonte;piedade-do-rio-grande
mg;minas-gerais;belo-horizonte;piedade-dos-gerais
mg;minas-gerais;belo-horizonte;pimenta
mg;minas-gerais;belo-horizonte;pingo-d'agua
mg;minas-gerais;belo-horizonte;pintopolis
mg;minas-gerais;belo-horizonte;piracema
mg;minas-gerais;belo-horizonte;pirajuba
mg;minas-gerais;belo-horizonte;piranga
mg;minas-gerais;belo-horizonte;pirangucu
mg;minas-gerais;belo-horizonte;piranguinho
mg;minas-gerais;belo-horizonte;pirapetinga
mg;minas-gerais;belo-horizonte;pirapora
mg;minas-gerais;belo-horizonte;pirauba
mg;minas-gerais;belo-horizonte;pitangui
mg;minas-gerais;belo-horizonte;piumhi
mg;minas-gerais;belo-horizonte;planura
mg;minas-gerais;belo-horizonte;poco-fundo
mg;minas-gerais;belo-horizonte;pocos-de-caldas
mg;minas-gerais;belo-horizonte;pocrane
mg;minas-gerais;belo-horizonte;pompeu
mg;minas-gerais;belo-horizonte;ponte-nova
mg;minas-gerais;belo-horizonte;ponto-chique
mg;minas-gerais;belo-horizonte;ponto-dos-volantes
mg;minas-gerais;belo-horizonte;porteirinha
mg;minas-gerais;belo-horizonte;porto-firme
mg;minas-gerais;belo-horizonte;pote
mg;minas-gerais;belo-horizonte;pouso-alegre
mg;minas-gerais;belo-horizonte;pouso-alto
mg;minas-gerais;belo-horizonte;prados
mg;minas-gerais;belo-horizonte;prata
mg;minas-gerais;belo-horizonte;pratapolis
mg;minas-gerais;belo-horizonte;pratinha
mg;minas-gerais;belo-horizonte;presidente-bernardes
mg;minas-gerais;belo-horizonte;presidente-juscelino
mg;minas-gerais;belo-horizonte;presidente-KubitscheK
mg;minas-gerais;belo-horizonte;presidente-olegario
mg;minas-gerais;belo-horizonte;prudente-de-morais
mg;minas-gerais;belo-horizonte;quartel-geral
mg;minas-gerais;belo-horizonte;queluzito-
mg;minas-gerais;belo-horizonte;raposos
mg;minas-gerais;belo-horizonte;raul-soares
mg;minas-gerais;belo-horizonte;recreio
mg;minas-gerais;belo-horizonte;reduto
mg;minas-gerais;belo-horizonte;resende-costa
mg;minas-gerais;belo-horizonte;resplendor
mg;minas-gerais;belo-horizonte;ressaquinha
mg;minas-gerais;belo-horizonte;riachinho-
mg;minas-gerais;belo-horizonte;riacho-dos-machados
mg;minas-gerais;belo-horizonte;ribeirao-das-neves
mg;minas-gerais;belo-horizonte;ribeirao-vermelho
mg;minas-gerais;belo-horizonte;rio-acima
mg;minas-gerais;belo-horizonte;rio-casca
mg;minas-gerais;belo-horizonte;rio-do-prado
mg;minas-gerais;belo-horizonte;rio-doce
mg;minas-gerais;belo-horizonte;rio-espera
mg;minas-gerais;belo-horizonte;rio-manso
mg;minas-gerais;belo-horizonte;rio-novo
mg;minas-gerais;belo-horizonte;rio-paranaiba
mg;minas-gerais;belo-horizonte;rio-pardo-de-minas
mg;minas-gerais;belo-horizonte;rio-piracicaba
mg;minas-gerais;belo-horizonte;rio-pomba-
mg;minas-gerais;belo-horizonte;rio-preto-
mg;minas-gerais;belo-horizonte;rio-vermelho
mg;minas-gerais;belo-horizonte;ritapolis-
mg;minas-gerais;belo-horizonte;rochedo-de-minas
mg;minas-gerais;belo-horizonte;rodeiro
mg;minas-gerais;belo-horizonte;romaria
mg;minas-gerais;belo-horizonte;rosario-da-limeira
mg;minas-gerais;belo-horizonte;rubelita
mg;minas-gerais;belo-horizonte;rubim
mg;minas-gerais;belo-horizonte;sabara
mg;minas-gerais;belo-horizonte;sabinopolis
mg;minas-gerais;belo-horizonte;sacramento
mg;minas-gerais;belo-horizonte;salinas
mg;minas-gerais;belo-horizonte;salto-da-divisa
mg;minas-gerais;belo-horizonte;santa-barbara
mg;minas-gerais;belo-horizonte;santa-barbara-do-leste
mg;minas-gerais;belo-horizonte;santa-barbara-do-monte-verde
mg;minas-gerais;belo-horizonte;santa-barbara-do-tugurio
mg;minas-gerais;belo-horizonte;santa-cruz-de-minas
mg;minas-gerais;belo-horizonte;santa-cruz-de-salinas
mg;minas-gerais;belo-horizonte;santa-cruz-do-escalvado
mg;minas-gerais;belo-horizonte;santa-efigenia-de-minas
mg;minas-gerais;belo-horizonte;santa-fe-de-minas
mg;minas-gerais;belo-horizonte;santa-helena-de-minas
mg;minas-gerais;belo-horizonte;santa-juliana
mg;minas-gerais;belo-horizonte;santa-luzia
mg;minas-gerais;belo-horizonte;santa-margarida
mg;minas-gerais;belo-horizonte;santa-maria-de-itabira
mg;minas-gerais;belo-horizonte;santa-maria-do-salto
mg;minas-gerais;belo-horizonte;santa-maria-do-suacui
mg;minas-gerais;belo-horizonte;santa-rita-de-caldas
mg;minas-gerais;belo-horizonte;santa-rita-de-ibitipoca
mg;minas-gerais;belo-horizonte;santa-rita-de-jacutinga
mg;minas-gerais;belo-horizonte;santa-rita-de-minas
mg;minas-gerais;belo-horizonte;santa-rita-do-itueto
mg;minas-gerais;belo-horizonte;santa-rita-do-sapucai
mg;minas-gerais;belo-horizonte;santa-rosa-da-serra
mg;minas-gerais;belo-horizonte;santa-vitoria
mg;minas-gerais;belo-horizonte;santana-da-vargem
mg;minas-gerais;belo-horizonte;santana-de-cataguases
mg;minas-gerais;belo-horizonte;santana-de-pirapama
mg;minas-gerais;belo-horizonte;santana-do-deserto
mg;minas-gerais;belo-horizonte;santana-do-garambeu
mg;minas-gerais;belo-horizonte;santana-do-jacare
mg;minas-gerais;belo-horizonte;santana-do-manhuacu
mg;minas-gerais;belo-horizonte;santana-do-paraiso
mg;minas-gerais;belo-horizonte;santana-do-riacho
mg;minas-gerais;belo-horizonte;santana-dos-montes
mg;minas-gerais;belo-horizonte;santo-antonio-do-amparo
mg;minas-gerais;belo-horizonte;santo-antonio-do-aventureiro
mg;minas-gerais;belo-horizonte;santo-antonio-do-grama
mg;minas-gerais;belo-horizonte;santo-antonio-do-itambe
mg;minas-gerais;belo-horizonte;santo-antonio-do-jacinto
mg;minas-gerais;belo-horizonte;santo-antonio-do-monte
mg;minas-gerais;belo-horizonte;santo-antonio-do-retiro
mg;minas-gerais;belo-horizonte;santo-antonio-do-rio-abaixo
mg;minas-gerais;belo-horizonte;santo-hipolito
mg;minas-gerais;belo-horizonte;santos-dumont
mg;minas-gerais;belo-horizonte;sao-bento-abade
mg;minas-gerais;belo-horizonte;sao-bras-do-suacui
mg;minas-gerais;belo-horizonte;sao-domingos-das-dores
mg;minas-gerais;belo-horizonte;sao-domingos-do-prata
mg;minas-gerais;belo-horizonte;sao-felix-de-minas
mg;minas-gerais;belo-horizonte;sao-francisco
mg;minas-gerais;belo-horizonte;sao-francisco-de-paula
mg;minas-gerais;belo-horizonte;sao-francisco-de-sales
mg;minas-gerais;belo-horizonte;sao-francisco-do-gloria
mg;minas-gerais;belo-horizonte;sao-geraldo
mg;minas-gerais;belo-horizonte;sao-geraldo-da-piedade
mg;minas-gerais;belo-horizonte;sao-geraldo-do-baixio
mg;minas-gerais;belo-horizonte;sao-goncalo-do-abaete
mg;minas-gerais;belo-horizonte;sao-goncalo-do-para
mg;minas-gerais;belo-horizonte;sao-goncalo-do-rio-abaixo
mg;minas-gerais;belo-horizonte;sao-goncalo-do-rio-preto
mg;minas-gerais;belo-horizonte;sao-goncalo-do-sapucai
mg;minas-gerais;belo-horizonte;sao-gotardo
mg;minas-gerais;belo-horizonte;sao-joao-batista-do-gloria
mg;minas-gerais;belo-horizonte;sao-joao-da-lagoa
mg;minas-gerais;belo-horizonte;sao-joao-da-mata
mg;minas-gerais;belo-horizonte;sao-joao-da-ponte
mg;minas-gerais;belo-horizonte;sao-joao-das-missoes
mg;minas-gerais;belo-horizonte;sao-joao-del-rei
mg;minas-gerais;belo-horizonte;sao-joao-do-manhuacu
mg;minas-gerais;belo-horizonte;sao-joao-do-manteninha
mg;minas-gerais;belo-horizonte;sao-joao-do-oriente
mg;minas-gerais;belo-horizonte;sao-joao-do-pacui
mg;minas-gerais;belo-horizonte;sao-joao-do-paraiso
mg;minas-gerais;belo-horizonte;sao-joao-evangelista
mg;minas-gerais;belo-horizonte;sao-joao-nepomuceno
mg;minas-gerais;belo-horizonte;sao-joaquim-de-bicas
mg;minas-gerais;belo-horizonte;sao-jose-da-barra
mg;minas-gerais;belo-horizonte;sao-jose-da-lapa
mg;minas-gerais;belo-horizonte;sao-jose-da-safira
mg;minas-gerais;belo-horizonte;sao-jose-da-varginha
mg;minas-gerais;belo-horizonte;sao-jose-do-alegre
mg;minas-gerais;belo-horizonte;sao-jose-do-divino
mg;minas-gerais;belo-horizonte;sao-jose-do-goiabal
mg;minas-gerais;belo-horizonte;sao-jose-do-jacuri
mg;minas-gerais;belo-horizonte;sao-jose-do-mantimento
mg;minas-gerais;belo-horizonte;sao-lourenco
mg;minas-gerais;belo-horizonte;sao-miguel-do-anta
mg;minas-gerais;belo-horizonte;sao-pedro-da-uniao
mg;minas-gerais;belo-horizonte;sao-pedro-do-suacui
mg;minas-gerais;belo-horizonte;sao-pedro-dos-ferros
mg;minas-gerais;belo-horizonte;sao-romao
mg;minas-gerais;belo-horizonte;sao-roque-de-minas
mg;minas-gerais;belo-horizonte;sao-sebastiao-da-bela-vista
mg;minas-gerais;belo-horizonte;sao-sebastiao-da-vargem-alegre
mg;minas-gerais;belo-horizonte;sao-sebastiao-do-anta
mg;minas-gerais;belo-horizonte;sao-sebastiao-do-maranhao
